"Municipality","Date","Population"
"København","2024M04","662366"
"Frederiksberg","2024M04","105469"
"Dragør","2024M04","14504"
"Tårnby","2024M04","43877"
"Albertslund","2024M04","27633"
"Ballerup","2024M04","51619"
"Brøndby","2024M04","39400"
"Gentofte","2024M04","75001"
"Gladsaxe","2024M04","70681"
"Glostrup","2024M04","23666"
"Herlev","2024M04","30037"
"Hvidovre","2024M04","53785"
"Høje Taastrup","2024M04","57941"
"Ishøj","2024M04","23727"
"Lyngby-Taarbæk","2024M04","58593"
"Rødovre","2024M04","44512"
"Vallensbæk","2024M04","17884"
"Allerød","2024M04","25977"
"Egedal","2024M04","45556"
"Fredensborg","2024M04","41995"
"Frederikssund","2024M04","46645"
"Furesø","2024M04","42441"
"Gribskov","2024M04","41817"
"Halsnæs","2024M04","31604"
"Helsingør","2024M04","63888"
"Hillerød","2024M04","54512"
"Hørsholm","2024M04","24831"
"Rudersdal","2024M04","57293"
"Bornholm","2024M04","39229"
"Christiansø","2024M04","92"
"Greve","2024M04","52310"
"Køge","2024M04","62884"
"Lejre","2024M04","29405"
"Roskilde","2024M04","91119"
"Solrød","2024M04","24595"
"Faxe","2024M04","37697"
"Guldborgsund","2024M04","59616"
"Holbæk","2024M04","74191"
"Kalundborg","2024M04","48321"
"Lolland","2024M04","39598"
"Næstved","2024M04","84783"
"Odsherred","2024M04","32501"
"Ringsted","2024M04","36305"
"Slagelse","2024M04","80137"
"Sorø","2024M04","30573"
"Stevns","2024M04","23639"
"Vordingborg","2024M04","45593"
"Assens","2024M04","40659"
"Faaborg-Midtfyn","2024M04","52271"
"Kerteminde","2024M04","23903"
"Langeland","2024M04","12176"
"Middelfart","2024M04","40231"
"Nordfyns","2024M04","29552"
"Nyborg","2024M04","32178"
"Odense","2024M04","209383"
"Svendborg","2024M04","59774"
"Ærø","2024M04","5947"
"Billund","2024M04","27164"
"Esbjerg","2024M04","115319"
"Fanø","2024M04","3343"
"Fredericia","2024M04","52473"
"Haderslev","2024M04","55311"
"Kolding","2024M04","95063"
"Sønderborg","2024M04","74076"
"Tønder","2024M04","36646"
"Varde","2024M04","49734"
"Vejen","2024M04","42892"
"Vejle","2024M04","121876"
"Aabenraa","2024M04","58673"
"Favrskov","2024M04","49248"
"Hedensted","2024M04","47660"
"Horsens","2024M04","97366"
"Norddjurs","2024M04","36742"
"Odder","2024M04","23917"
"Randers","2024M04","100167"
"Samsø","2024M04","3695"
"Silkeborg","2024M04","100974"
"Skanderborg","2024M04","65267"
"Syddjurs","2024M04","44059"
"Århus","2024M04","367666"
"Herning","2024M04","90030"
"Holstebro","2024M04","59029"
"Ikast-Brande","2024M04","42785"
"Lemvig","2024M04","19061"
"Ringkøbing-Skjern","2024M04","56080"
"Skive","2024M04","44673"
"Struer","2024M04","20495"
"Viborg","2024M04","97593"
"Brønderslev","2024M04","36595"
"Frederikshavn","2024M04","58330"
"Hjørring","2024M04","63570"
"Jammerbugt","2024M04","38159"
"Læsø","2024M04","1751"
"Mariagerfjord","2024M04","41763"
"Morsø","2024M04","19649"
"Rebild","2024M04","30939"
"Thisted","2024M04","42949"
"Vesthimmerland","2024M04","35944"
"Aalborg","2024M04","223182"
